title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],1.0,634.26164
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],2.0,624.4386289999986
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],3.0,618.2569890000021
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],4.0,599.9198779999992
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],5.0,575.5749849999987
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],6.0,562.8422389999981
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],7.0,559.6682199999943
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],8.0,550.5777910000011
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],9.0,532.8188559999987
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],10.0,518.4104759999985
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],11.0,241.3282777777775
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],12.0,33.46293333333333
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],13.0,31.6077
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],14.0,30.78476666666668
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],15.0,27.700161111111115
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],17.0,27.164894444444442
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],16.0,27.07409444444446
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],19.0,23.7230111111111
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],18.0,23.16697777777778
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],21.0,21.942066666666694
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],20.0,20.438794444444447
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],23.0,18.925361111111116
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],22.0,20.962133333333334
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],25.0,19.457394444444432
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],24.0,19.93708333333333
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],27.0,12.982783333333336
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],26.0,17.27562777777779
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],29.0,9.71556111111111
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],28.0,9.936599999999999
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.0,0.82
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.1,0.82
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.8,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.7,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.6,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.5,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.4,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.2,0.82
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.3,1.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],1.0,0.005340000000000046
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],2.0,0.005340000000000046
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],3.0,0.005340000000000046
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],4.0,0.005340000000000046
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],5.0,0.005340000000000046
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],6.0,0.005340000000000046
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],7.0,0.005340000000000046
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],8.0,0.005340000000000046
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],9.0,0.005340000000000046
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],10.0,0.005340000000000046
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],11.0,0.0030000000000000022
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],12.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],13.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],14.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],15.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],17.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],16.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],19.0,0.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],18.0,0.0
