title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],1.0,106.87439999999928
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],2.0,103.93183600000049
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],3.0,105.24700300000008
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],4.0,104.6378029999999
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],5.0,104.78425600000001
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],6.0,102.66423800000001
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],7.0,103.60487999999997
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],8.0,105.30990300000005
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],9.0,105.32665300000002
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],10.0,103.9012340000002
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],11.0,103.75495100000013
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],12.0,105.27954200000029
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],13.0,103.95053500000022
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],14.0,104.60808800000017
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],15.0,105.14119299999984
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],17.0,105.43746200000021
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],16.0,105.50780100000019
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],19.0,104.27520200000002
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],18.0,103.71587600000018
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],21.0,106.17395100000014
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],20.0,105.270377
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],23.0,9.803527707808561
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],22.0,11.338772040302265
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],25.0,8.186023929471036
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],24.0,8.840911838790928
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],27.0,8.765919395465993
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],26.0,8.199559193954682
Time Error,Progress (steps),Error (s),Average Tree [0.49|0.49|0.02],28.0,5.059735516372794
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.0,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.1,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.7,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.6,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.5,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.4,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.2,1.0
Time Confidence,Confidence,Probability correct,Average Tree [0.49|0.49|0.02],0.3,1.0
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],1.0,0.002617999999999948
Steps Error,Progress (steps),Error (steps),Average Tree [0.49|0.49|0.02],2.0,0.002617999999999948
