title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (steps),Error (s),Neural Network [5|5],1.0,230.6839235669123
Time Error,Progress (steps),Error (s),Neural Network [5|5],2.0,5.295930112664715
Time Error,Progress (steps),Error (s),Neural Network [5|5],3.0,0.0
Time Error,Progress (steps),Error (s),Neural Network [5|5],4.0,0.0
Time Confidence,Confidence,Probability correct,Neural Network [5|5],0.8,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|5],0.7,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|5],0.9,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|5],0.4,0.8888888888888888
Time Confidence,Confidence,Probability correct,Neural Network [5|5],0.3,0.28125
Steps Error,Progress (steps),Error (steps),Neural Network [5|5],1.0,0.24248711305964277
Steps Error,Progress (steps),Error (steps),Neural Network [5|5],2.0,0.40280251338811096
Steps Error,Progress (steps),Error (steps),Neural Network [5|5],3.0,0.28196175937167767
Steps Error,Progress (steps),Error (steps),Neural Network [5|5],4.0,0.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|5],0.8,1.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|5],0.9,1.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|5],0.5,0.5
Steps Confidence,Confidence,Probability correct,Neural Network [5|5],0.7,1.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|5],0.6,0.8428571428571429
Steps Confidence,Confidence,Probability correct,Neural Network [5|5],0.4,0.5
Time Error,Progress (steps),Error (s),Neural Network [5|5|5],1.0,84.1117308796679
Time Error,Progress (steps),Error (s),Neural Network [5|5|5],2.0,5.295930112664715
Time Error,Progress (steps),Error (s),Neural Network [5|5|5],3.0,0.0
Time Error,Progress (steps),Error (s),Neural Network [5|5|5],4.0,0.0
Time Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.8,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.6,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.5,0.7142857142857143
Time Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.7,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.9,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.4,0.5333333333333333
Time Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.3,0.6923076923076923
Steps Error,Progress (steps),Error (steps),Neural Network [5|5|5],1.0,0.24248711305964277
Steps Error,Progress (steps),Error (steps),Neural Network [5|5|5],2.0,0.3625222620492998
Steps Error,Progress (steps),Error (steps),Neural Network [5|5|5],3.0,0.24168150803286656
Steps Error,Progress (steps),Error (steps),Neural Network [5|5|5],4.0,0.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.5,0.375
Steps Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.9,1.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.7,0.8333333333333334
Steps Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.6,0.8292682926829268
Steps Confidence,Confidence,Probability correct,Neural Network [5|5|5],0.4,0.5
Time Error,Progress (steps),Error (s),Neural Network [5|10],1.0,85.15820159783875
Time Error,Progress (steps),Error (s),Neural Network [5|10],2.0,5.295930112664715
Time Error,Progress (steps),Error (s),Neural Network [5|10],3.0,0.0
Time Error,Progress (steps),Error (s),Neural Network [5|10],4.0,0.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10],0.8,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10],0.5,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10],0.6,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10],0.7,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10],0.9,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10],0.4,0.7272727272727273
Time Confidence,Confidence,Probability correct,Neural Network [5|10],0.2,0.5882352941176471
Time Confidence,Confidence,Probability correct,Neural Network [5|10],0.3,0.8125
Steps Error,Progress (steps),Error (steps),Neural Network [5|10],1.0,0.24248711305964277
Steps Error,Progress (steps),Error (steps),Neural Network [5|10],2.0,0.28196175937167767
Steps Error,Progress (steps),Error (steps),Neural Network [5|10],3.0,0.24168150803286656
Steps Error,Progress (steps),Error (steps),Neural Network [5|10],4.0,0.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|10],0.8,1.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|10],0.9,1.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|10],0.7,1.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|10],0.5,0.7619047619047619
Steps Confidence,Confidence,Probability correct,Neural Network [5|10],0.6,0.7741935483870968
Steps Confidence,Confidence,Probability correct,Neural Network [5|10],0.4,0.0
Time Error,Progress (steps),Error (s),Neural Network [5|10|10],1.0,154.0067532200051
Time Error,Progress (steps),Error (s),Neural Network [5|10|10],2.0,27.379432273113956
Time Error,Progress (steps),Error (s),Neural Network [5|10|10],3.0,0.0
Time Error,Progress (steps),Error (s),Neural Network [5|10|10],4.0,0.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.0,0.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.8,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.7,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.6,0.8421052631578947
Time Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.9,1.0
Time Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.5,0.6666666666666666
Steps Error,Progress (steps),Error (steps),Neural Network [5|10|10],1.0,0.24248711305964277
Steps Error,Progress (steps),Error (steps),Neural Network [5|10|10],2.0,0.28196175937167767
Steps Error,Progress (steps),Error (steps),Neural Network [5|10|10],3.0,0.32224201071048875
Steps Error,Progress (steps),Error (steps),Neural Network [5|10|10],4.0,0.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.8,1.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.9,1.0
Steps Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.7,0.7142857142857143
Steps Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.6,0.98
Steps Confidence,Confidence,Probability correct,Neural Network [5|10|10],0.5,0.43333333333333335
Time Error,Progress (steps),Error (s),Neural Network [5|15],1.0,199.57016281254684
