title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (steps),Error (s),Neural Network [50|5],1.0,371.07090395634276
Time Error,Progress (steps),Error (s),Neural Network [50|5],2.0,404.9126763920055
Time Error,Progress (steps),Error (s),Neural Network [50|5],3.0,53.57270858345782
Time Error,Progress (steps),Error (s),Neural Network [50|5],4.0,0.0
Time Confidence,Confidence,Probability correct,Neural Network [50|5],0.0,0.0
Time Confidence,Confidence,Probability correct,Neural Network [50|5],0.1,0.1650485436893204
Time Confidence,Confidence,Probability correct,Neural Network [50|5],0.5,1.0
Time Confidence,Confidence,Probability correct,Neural Network [50|5],0.6,1.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|5],1.0,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|5],2.0,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|5],3.0,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|5],4.0,0.0
Steps Confidence,Confidence,Probability correct,Neural Network [50|5],0.9,1.0
Time Error,Progress (steps),Error (s),Neural Network [50|5|5],1.0,371.07090395634276
Time Error,Progress (steps),Error (s),Neural Network [50|5|5],2.0,404.9126763920055
Time Error,Progress (steps),Error (s),Neural Network [50|5|5],3.0,53.57270858345782
Time Error,Progress (steps),Error (s),Neural Network [50|5|5],4.0,0.0
Time Confidence,Confidence,Probability correct,Neural Network [50|5|5],0.1,0.2236842105263158
Time Confidence,Confidence,Probability correct,Neural Network [50|5|5],0.8,1.0
Time Confidence,Confidence,Probability correct,Neural Network [50|5|5],0.4,1.0
Time Confidence,Confidence,Probability correct,Neural Network [50|5|5],0.2,0.0
Time Confidence,Confidence,Probability correct,Neural Network [50|5|5],0.3,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|5|5],1.0,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|5|5],2.0,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|5|5],3.0,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|5|5],4.0,0.0
Steps Confidence,Confidence,Probability correct,Neural Network [50|5|5],0.9,1.0
Time Error,Progress (steps),Error (s),Neural Network [50|10],1.0,360.1503868965627
Time Error,Progress (steps),Error (s),Neural Network [50|10],2.0,404.9126763920055
Time Error,Progress (steps),Error (s),Neural Network [50|10],3.0,30.985200592594378
Time Error,Progress (steps),Error (s),Neural Network [50|10],4.0,65.95395355405046
Time Confidence,Confidence,Probability correct,Neural Network [50|10],0.0,0.1724137931034483
Time Confidence,Confidence,Probability correct,Neural Network [50|10],0.1,0.41025641025641024
Time Confidence,Confidence,Probability correct,Neural Network [50|10],0.6,1.0
Time Confidence,Confidence,Probability correct,Neural Network [50|10],0.5,1.0
Time Confidence,Confidence,Probability correct,Neural Network [50|10],0.7,1.0
Time Confidence,Confidence,Probability correct,Neural Network [50|10],0.4,1.0
Time Confidence,Confidence,Probability correct,Neural Network [50|10],0.2,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|10],1.0,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|10],2.0,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|10],3.0,0.0
Steps Error,Progress (steps),Error (steps),Neural Network [50|10],4.0,0.0
